price,number_of_reviews,,,,,
80,6,,,,,
30,0,,,,,
50,127,,,,,
52,153,,,,,
50,169,,,,,
47,83,,,,,
50,144,,,,,
68,240,,,,,
48,7,,,,,
65,155,,,,,
35,28,,,,,
39,0,,,,,
28,59,,,,,
40,96,,,,,
60,70,,,,,
104,1,,,,,
55,33,,,,,
26,29,,,,,
60,311,,,,,
65,199,,,,,
65,236,,,,,
250,1,,,,,
20,32,,,,,
13,67,,,,,
230,48,,,,,
36,178,,,,,
89,103,,,,,
36,146,,,,,
23,119,,,,,
108,207,,,,,
79,47,,,,,
29,39,,,,,
25,302,,,,,
25,304,,,,,
120,31,,,,,
150,21,,,,,
59,101,,,,,
40,1,,,,,
24,50,,,,,
109,224,,,,,
30,38,,,,,
90,15,,,,,
90,22,,,,,
100,0,,,,,
40,10,,,,,
53,61,,,,,
60,0,,,,,
87,17,,,,,
60,3,,,,,
40,22,,,,,
60,93,,,,,
35,275,,,,,
29,0,,,,,
53,223,,,,,
50,2,,,,,
29,169,,,,,
80,122,,,,,
33,261,,,,,
35,191,,,,,
42,250,,,,,
17,33,,,,,
40,121,,,,,
51,198,,,,,
36,131,,,,,
35,461,,,,,
68,71,,,,,
30,0,,,,,
50,71,,,,,
40,64,,,,,
35,68,,,,,
57,154,,,,,
26,3,,,,,
59,6,,,,,
61,88,,,,,
22,26,,,,,
90,9,,,,,
